Media ,School,City,State
International Dateline ,Washington International School,Washington ,District of Columbia
The Wilson Beacon ,Woodrow Wilson Senior High School,Washington,District of Columbia
Achona Online,Academy of the Holy Names,Tampa,Flordia
The Predator,Alice B. Landrum Middle School,Ponte Vedra ,Flordia
The Bowman's Beacon,Angeline Academy of Innovation,Land O Lakes,Flordia
The Blue and White,Apopka High School,Apopka,Flordia
The Talon,Astronaut High School,Titusville,Flordia
Portfolion,Bak Middle School of the Arts,West Palm Beach,Flordia
Fanfare,Berkeley Preparatory School,Tampa,Flordia
The Shield ,Bishop Kenny High School,Jacksonville,Flordia
Boone Pubs,Boone High School,orlando,Flordia
The Seahawk's Eye,Cape Coral High School,Cape Coral,Flordia
CN Blue & Gold ,Cardinal Newman High School,West Palm Beach,Flordia
The Beat,Carrollton School of the Sacred Heart,Miami,Flordia
CavsConnect,Coral Gables Senior High School,Coral Gables,Flordia
The Prowl,Coral Glades High School,Coral Springs,Flordia
Paw Print,Coral Springs Charter School,Coral Springs,Flordia
Colt Chronicle,Coral Springs High School,Coral Springs,Flordia
Howler,Cypress Creek High School,Wesley Chapel,Flordia
The Monitor,Darnell-Cookman Middle-High School,Jacksonville,Flordia
The Globe,Downtown Doral Charter Upper School,Doral,Flordia
The Lightning Strike,Dr. Michael M. Krop,Miami,Flordia
The Muse,Dreyfoos School of the Arts,West Palm Beach,Flordia
Marquee Yearbook,Dreyfoos School of the Arts,West Palm Beach,Flordia
The Monthly Ram,Eastside High School,Gainesville,Flordia
The Edge,Edgewood Jr/Sr High School,Merritt Island,Flordia
The Talon Times,Episcopal School of Jacksonville,Jacksonville,Flordia
The Falcon,Falcon Cove Middle School,Weston,Flordia
Farnell News Network,Farnell Middle School,Tampa,Flordia
Golden Times,Fleming Island High School,Fleming Island,Flordia
Coyote Chronicle ,Four Corners Upper School,Davenport,Flordia
The Talon,Frank H. Peterson Academies,Jacksonville,Flordia
Revolution,Freedom High School,Tampa,Flordia
The Blue and Gold,Gulf Breeze High School,Gulf Breeze,Flordia
The Raider Voice ,Gulliver Prepatory,Miami,Flordia
Hagerty Journalism Today,Hagerty High School,Oviedo,Flordia
PHS News,HB Plant Senior High School,Tampa,Flordia
The Growl,Holy Trinity Episcopal Academy,Melbourne,Flordia
The Jacket,Howard W. Blake High School,Tampa,Flordia
Royal Courier,Immaculata-La Salle High School,Miami,Flordia
Inlet Grove News,Inlet Grove Community High School,Riviera Beach,Flordia
The Hoofbeat,J.W. Mitchell High School,Trinity,Flordia
The Inkwell,Jewish Leadership Academy,Miami,Flordia
J. Hop Times,Journeys,Journalism at John Hopkins Middle School in St. Petersburg,Flordia
Manatee Messenger,Journeys,Journalism at Melrose Elementary School in St. Petersburg,Flordia
The Beak,Jupiter Christian School,Jupiter,Flordia
War Cry,Jupiter Community High School,Jupiter,Flordia
The Brantley Banner,Lake Brantley High School,Altamonte Springs,Flordia
Twice-Told Tale,Lake Highland Preparatory School,Orlando,Flordia
The Rampage,Lake Mary High School,Lake Mary,Flordia
Lions' Legend ,Lake Nona High School,Orlando,Flordia
Tiger Times,Lakewood Elementary,St. Pete,Flordia
Spartan News Network ,Lakewood High School,St. Petersburg,Flordia
Greyhound Growl,Lyman High School - FL,Longwood,Flordia
The Wave,Marco Island Academy High School,Marco Island,Flordia
The Eagle Eye,Marjory Stoneman Douglas High School,Parkland,Flordia
The Beacon,MAST Academy,Miami,Flordia
The Spartacus,Miami Country Day School,Miami,Flordia
The Spartan Chronicle,Miami Country Day School,Miami,Flordia
The Miami High Times,Miami High School,Miami,Flordia
Palmetto,Miami Palmetto Senior High School,Pinecrest Village,Flordia
Raider News,Navarre High School,Navaree,Flordia
Wolf Tracks,Newsome High School,Lithia,Flordia
Oak Ridge Times,Oak Ridge High School,Orlando,Flordia
The Oracle,Olympia High School,Orlando,Flordia
The Torch,Olympic Heights High School,Boca Raton,Flordia
The Walter Times,One School of the Arts,Longwood,Flordia
The OCSA Ledger,Osceola County for the Arts,Kissimmee,Flordia
Warrior Record Online,Osceola High School,Seminole,Flordia
The Grotto,Our Lady of Lourdes Academy,Miami,Flordia
Oviedo Journalism,Oviedo High School,Oviedo,Flordia
Choice News,Palm Beach Lakes Community High School,West Palm Beach,Flordia
The Eye,Palm Harbor University High School,Palm Harbor,Flordia
The Perch,Palmer Trinity School,Miami,Flordia
CHAT News,Pembroke Pines Charter High School,Pembroke Pines,Flordia
Type One,Pine Crest School,Fort Lauderdale,Flordia
Tornado Times,Pompano Beach High,Pompano Beach,Flordia
The Catalyst,Ransom Everglades School,Miami,Flordia
The Riviera Press,Riviera Preparatory School,Miami,Flordia
RHS Today,Robinson High School,Tampa,Flordia
The Gauntlet,Saint Stephen's Episcopal School,Bradenton,Flordia
The Raider Review,Saint Thomas Aquinas High School,Fort Lauderdale,Flordia
The Tribe,Santaluces High School,Lantana,Flordia
The Roar Post,Scheck Hillel Community School,Miami,Flordia
The Seminole Newspaper,Seminole High School,Sanford,Flordia
The Chronicle,Shorecrest Preparatory School,Saint Petersburg,Flordia
The Warrior Daily,Somerset Academy of Central Miramar,Miramar,Flordia
The Bulldog Bark,South Broward High School,Hollywood,Flordia
The Current,SOUTH DADE SENIOR HIGH SCHOOL,Homestead,Flordia
WSAS Online,St. Andrews Episcopal School,Boca Raton,Flordia
The Celtic Times,St. John Neumann Catholic High School,Naples,Flordia
Palmetto & Pine,St. Petersburg High School,"Saint Petersburg, FL",Flordia
Oracle News,Steinbrenner High School,Lutz,Flordia
The Legend,Suncoast Community High School,Riviera Beach,Flordia
The Perch,Sunlake High School,Land O' Lakes,Flordia
The Current,Tampa Preparatory School,Tampa,Flordia
Tarpon Times,Tarpon Springs High School,Tarpon Springs,Flordia
The Neersyde,The Benjamin Middle School,North Palm Beach,Flordia
The Pharcyde,The Benjamin School,Palm Beach Gardens,Flordia
Bolles Bugle Online,The Bolles School,Jacksonville,Flordia
The Lion Ledger,The King''s Academy,West Palm Beach,Flordia
Roar,The King's Academy - FL,West Palm Beach,Flordia
The Trinity Voice ,Trinity Preparatory School,Winter Park,Flordia
UHSpress,University High School,Orange City,Flordia
The Torch,University High School,Orlando,Flordia
VMS Press,Venice Middle School,Venice ,Flordia
Gator Gazette,Wellington Landings Middle School,Wellington,Flordia
PawPrints,Wesley Chapel High School,Wesley Chapel,Flordia
The West Boca Bullseye,West Boca Raton High School,Boca Raton,Flordia
WOHS Publications,West Orange High School,Winter Garden,Flordia
The Roar,West Shore Junior/Senior High School,Melbourne,Flordia
Paw Prints,Western High School,Davie,Flordia
Westside Voice ,Westside High School,Jacksonville,Flordia
Wildcat Chronicle,Winter Park High School,Winter Park,Flordia
The Bear Truth,Winter Springs High School,Winter Springs,Flordia
The Stampede,Wiregrass Ranch High School,Land O' Lakes,Flordia
The Bark,Zephyrhills High School,Zephyrhills,Flordia
Tribe Tribune,ARMUCHEE HIGH SCHOOL,ROME,Georgia
The Spartan Review ,Athens Academy,Athens,Georgia
The Titan Times,Blessed Trinity Catholic High School,Roswell,Georgia
The Bear Witness,Cambridge High School,Milton,Georgia
The Chipper,Cartersville High School,Cartersville,Georgia
The Trumpet,Cass High School,White,Georgia
The Blue & Gold,Chamblee High School,Chamblee,Georgia
The Clawprint,Creekview High School,Canton,Georgia
Darlingtonian,Darlington School,Rome,Georgia
3TEN,Decatur High School,Decatur,Georgia
Denmark Unleashed,Denmark High School,Cumming ,Georgia
The Talon ,Etowah High School,Woodstock,Georgia
Purple and White,Gilmer High School,Ellijay,Georgia
The Tomahawk,Gordon Central High School,Calhoun,Georgia
The Southerner,Henry W. Grady High School,Atlanta,Georgia
The General Journal,Heritage High School,Ringgold,Georgia
Warrior Times,JC Booth Middle School,Peachtree City,Georgia
The Mustang Messenger,Kennesaw Mountain High School,Kennesaw,Georgia
The Lambert Post,Lambert High School,Suwanee,Georgia
The Pitchfork,Marietta High School,Marietta,Georgia
Blue & Gold,Marist School,Atlanta,Georgia
McIntosh Trail,McIntosh High School,Peachtree City,Georgia
The Mill Creek Chronicle,Mill Creek High School,Hoschton,Georgia
The Warrior Wire,North Atlanta High School,Atlanta,Georgia
The Chant,North Cobb High School,Kennesaw,Georgia
The Raider Wire,North Forsyth High School,Cumming,Georgia
The Oconee Scout ,Oconee County High School,Watkinsville,Georgia
The Forum,Paideia School,Atlanta,Georgia
The Sting,Roswell High School,Roswell,Georgia
The Buzz,Savannah Country Day School,Savannah,Georgia
The Arrow,Sequoyah High School,Canton,Georgia
The Bird Feed,South Forsyth High School,Cumming,Georgia
Voices of South,South Gwinnett High School,Snellville,Georgia
Golden Lines,St. Pius X Catholic High School,Atlanta,Georgia
The Prowler,Starr's Mill High School,Fayetteville,Georgia
Stratford Gazebo,Stratford Academy,Macon,Georgia
Wildcat Press Xpress,The Westminster Schools,Atlanta,Georgia
The Westminster Bi-Line,The Westminster Schools,Atlanta,Georgia
The Catalyst,Wheeler High School,Marietta,Georgia
Cougar Connection,Henry J. Kaiser High School,Honolulu,Hawaii
The Dragon Post,Honokaʻa High and Intermediate School,Honoka'a,Hawaii
Imua ʻIolani,Iolani School,Honolulu,Hawaii
Ewa Naupaka,James Campbell High School,Ewa Beach,Hawaii
Ka Leo O Kalani ,Kalani High School,Honolulu,Hawaii
Ka Mo'i,Kamehameha Schools Kapalama,Honolulu,Hawaii
Ka Leo o Na Koa,Kamehameha Schools Maui,Pukalani,Hawaii
The Pinion,McKinley High School,Honolulu,Hawaii
Na Pueo,Mid-Pacific Institute,Honolulu,Hawaii
Trojan Times,Mililani High School,Mililani,Hawaii
Na Hoku O Moanalua,Moanalua High School,Honolulu,Hawaii
Ka Leo 'O Nanakuli,Nanakuli High and Intermediate School,Waianae,Hawaii
Ka Punahou,Punahou School,Honolulu,Hawaii
The RamPage,Radford High School,Honolulu,Hawaii
Ka Leo,Sacred Hearts Academy,Honolulu,Hawaii
The Collegian,Saint Louis School,Honolulu,Hawaii
The Seabury Tides,Seabury Hall,Makawao,Hawaii
The Cane Tassel,Waipahu High School,Waipahu,Hawaii
The BroncWriter,Blackfoot High School,Blackfoot,Idaho
Boise Highlights,Boise High School,Boise,Idaho
The Riverhawk Review,Canyon Ridge High School,Twin Falls,Idaho
The Stampede,Eagle High School,Eagle,Idaho
The Knightly News,Hillcrest High School,Idaho Falls,Idaho
Timberwolf Times,Lake City High School,Coeur d'Alene,Idaho
LPOHS Online,Lake Pend Oreille High School,Sandpoint,Idaho
The Hawkeye,Lakeland High School,Rathdrum,Idaho
The Bengal's Purr ,Lewiston High School,Lewiston,Idaho
Phoenix Press,Mt. Harrison High School,Heyburn,Idaho
The Rocky Roar Newspaper,Rocky Mountain High School,Meridian,Idaho
WestSide Story,Skyline High School,Idaho Falls,Idaho
The Oracle,Thunder Ridge High School,Idaho Falls,Idaho
The Timberline Paw Print,Timberline High School,Boise,Idaho
The Valli-Vue,Vallivue High School,Caldwell,Idaho
Statesman,Adlai E. Stevenson High School,Lincolnshire,Illinois
The Daily Bird,Alton High School,Alton,Illinois
Sequoit Media,Antioch Community High School,Antioch,Illinois
The Maroon News Network,Argo Community High School,Summit,Illinois
The Knightly News,Auburn High School,Rockford,Illinois
The RoundUp,Barrington High School,Barrington ,Illinois
Hy News,Belleville West High School,Belleville,Illinois
The Boiling Point,Bradley Bourbonnais Community High School,Bradley,Illinois
Echo,Bremen High School,Midlothian,Illinois
The Charger,Buffalo Grove High School,Buffalo Grove,Illinois
Terrier Times,Carbondale Community High School,Carbondale,Illinois
Aquila,Carl Sandburg High School,Orland Park,Illinois
The Tiger Tribune,Carl Sandburg Middle School,Mundelein,Illinois
The Sphinx,Carterville High School,Carterville,Illinois
Trojan Times,Cary-Grove High School,Cary,Illinois
Champaign Central Chronicle ,Champaign Central High School,Champaign,Illinois
The Sting,Chester High School,Chester,Illinois
The Shield,Christ the King Jesuit High School,Chicago,Illinois
The Eaglet,Civic Memorial High School,Bethalto,Illinois
The Kahoki,Collinsville Community Unit School District 10,Collinsville,Illinois
The Spectator,Concordia University Chicago,River Forest,Illinois
Gator Prints,Crystal Lake South High School,Crystal Lake,Illinois
Deerprints,Deerfield High School,Deerfield,Illinois
The Avenue,DePaul College Prep,Chicago,Illinois
DGN Omega ,Downers Grove North HS,Downers Grove,Illinois
Blueprint,Downers Grove South High School,Downers Grove,Illinois
Tiger Times,Edwardsville High School,Edwardsville,Illinois
The Guardian,Elk Grove High School,Elk Grove Village,Illinois
The Tiger,Elmwood Park High School,Elmwood Park,Illinois
The Nest,Eureka Middle School,Eureka,Illinois
The Evanstonian,Evanston Township High School,Evanston,Illinois
Mustang Monitor,Evergreen Park Community High School,Evergreen Park ,Illinois
The Wick,Fenwick High School,Oak Park,Illinois
Flora High School Howler,Flora High School,Flora,Illinois
The Weekly,Francis W. Parker School,Chicago,Illinois
The Spyglass,Galena High School,Galena,Illinois
Voyager,Geneva High School,Geneva,Illinois
Echo,Glenbard East High School,Lombard,Illinois
The North Current,Glenbard North High School,Carol Stream,Illinois
The Independent,Glenbard South High School,Glen Ellyn,Illinois
The Glen Bard,Glenbard West High School,Glen Ellyn,Illinois
The Torch,Glenbrook North High School,Northbrook,Illinois
The Oracle,Glenbrook South High School,Glenview,Illinois
GSU Phoenix,Governors State University,University Park,Illinois
The Bark,Grant Community High School,Fox Lake,Illinois
Rampage,Grayslake Central High School,Grayslake,Illinois
Knight Times,Grayslake North High School,Grayslake,Illinois
The Voyager,Guilford High School,Rockford,Illinois
The Purple Clarion,Harrisburg High School,Harrisburg,Illinois
Tiger Tattler,Herrin High School,Herrin ,Illinois
The Hawk Eye,Hillcrest High School,Country Club Hills,Illinois
Devils' Advocate,Hinsdale Central High School,Hinsdale,Illinois
Stinger,Hinsdale South High School,Darien,Illinois
Hawkeye View,Hoffman Estates High School,Hoffman Estates,Illinois
The Voyager,Homewood Flossmoor High School,Flossmoor,Illinois
EDDA ,Homewood-Flossmoor High School,Flossmoor,Illinois
The Voice,Huntley High School,Huntley,Illinois
The Sterling ,J. Sterling Morton West High School,Berwyn,Illinois
Crimson J,Jacksonville High School,Jacksonville,Illinois
Conant Crier,James B. Conant High School,Hoffman Estates,Illinois
The Hawk,Jefferson High School,Rockford,Illinois
JTC Journal,Joliet Central High School,Joliet,Illinois
Tiger Tales,Joliet West High School,Joliet,Illinois
Blueprint,Jones College Preparatory High School,Chicago,Illinois
Kaneland Krier,Kaneland High School,Maple Park,Illinois
The Spectator,Lake Forest Academy,Lake Forest,Illinois
The Forest Scout,Lake Forest High School,Lake Forest,Illinois
The Lake Park Perspective,Lake Park High School,Roselle,Illinois
Bear Facts,Lake Zurich High School,Lake Zurich,Illinois
Lakes Student Media,Lakes Community High School,Lake Villa,Illinois
The Warrior,Lane Tech College Prep,Chicago,Illinois
The Forum,Latin School of Chicago,Chicago,Illinois
The Tom-Tom ,Lemont Township High School,Lemont,Illinois
The Talon,Leyden High School,Franklin Park,Illinois
Panther Tracks,Liberty Middle School,Edwardsville,Illinois
Drops of Ink,Libertyville High School,Libertyville,Illinois
Limelight,Limestone High School,Bartonville,Illinois
Knight Times,Lincoln-Way Central High School,New Lenox,Illinois
The Winged Messenger,Lincoln-Way East High School,Frankfort,Illinois
The West Gazette,Lincoln-Way West High School,New Lenox,Illinois
The Manestream,Lisle High School,Lisle,Illinois
Porter Press,Lockport Township High School,Lockport,Illinois
The Prep,Loyola Academy,Wilmette,Illinois
Lion,Lyons Township High School,LaGrange,Illinois
The Mannheim Observer,Mannheim Middle School,Melrose Park,Illinois
The Spartan Star,Marian Catholic High School,Chicago Heights,Illinois
MHS Media,Marist High School,Chicago,Illinois
Cadet Call,Marmion Academy,Aurora,Illinois
MHS News,McHenry High School West Campus,McHenry,Illinois
Metea Media,Metea Valley High School,Aurora,Illinois
Peace Pipe Chatter,Minooka Community High School,Minooka,Illinois
Pony Express,Morton East High School,Cicero,Illinois
The Caravan,Mount Carmel High School,Chicago,Illinois
Vernois News,Mt. Vernon Township High School,Mt. Vernon,Illinois
The Mustang ,Mundelein High School,Mundelein,Illinois
The Central Times,Naperville Central High School,Naperville,Illinois
The North Star,Naperville North High School,Naperville,Illinois
The Announcer,Nazareth Academy,LaGrange Park,Illinois
The Echo,Neuqua Valley High School,Naperville,Illinois
The Near True News ,New Trier,Winnetka,Illinois
Logos,New Trier High School,Wilmette,Illinois
New Trier News,New Trier High School,Winnetka,Illinois
New Trier Political Journal,New Trier High School,Winnetka,Illinois
Calliope ,New Trier High School,Winnetka,Illinois
The Journal,New Trier High School,Winnetka,Illinois
New Trier Views,New Trier High School,Winnetka,Illinois
North Star News,Niles North High School,Skokie,Illinois
NWNews,Niles West High School,Skokie,Illinois
Niles West News,Niles West High School,Skokie,Illinois
Inkspot,Normal Community High School,Normal,Illinois
Paw Print,Normal West High School,Normal,Illinois
The Hoofbeat,Northside College Preparatory High School,Chicago,Illinois
Verve Literary and Arts Magazine,Northside College Preparatory High School,Chicago,Illinois
The Vedas,Oak Forest High School,Oak Forest,Illinois
The Spartanite ,Oak Lawn Community High School,Oak Lawn,Illinois
The Trapeze,Oak Park and River Forest High School,Oak Park,Illinois
Launch Pad,Okawville High School,Okawville,Illinois
The Scarlet Ink,Orion High School,Orion,Illinois
Cutlass,Palatine High School,Palatine,Illinois
Pioneer Pages,Palestine High School,Robinson,Illinois
The Fielder,Plainfield Central High School,Plainfield,Illinois
East Side News,Plainfield East High School,Plainfield,Illinois
The Prowler ,Plainfield North High School,Plainfield,Illinois
The Paw Print,Plainfield South High School,Plainfield,Illinois
School Website,Polaris Charter Academy,Chicago,Illinois
Wolf Prints,Prairie Ridge High School,Crystal Lake,Illinois
The Prospector/Prospectornow.com,Prospect High School,Mount Prospect,Illinois
Proviscope,Providence Catholic High School,New Lenox,Illinois
Pirate News,Proviso East High School,Maywood,Illinois
The Maroon & White,Red Bud High School,Red Bud,Illinois
Crown,Regina Dominican High School,Wilmette,Illinois
The RCHS Torch,Rich Central High School,Olympia Fields,Illinois
Rocket Review,Richmond-Burton Community High School,Richmond,Illinois
The Shield,Richwoods High School,Peoria,Illinois
RBTV,Riverside Brookfield High School,Riverside,Illinois
Clarion,Riverside Brookfield High School,Riverside,Illinois
Crimson Crier,Rock Island High School,Rock Island,Illinois
Pacer,Rolling Meadows High School,Rolling Meadows,Illinois
Spartus,Romeoville High School,Romeoville,Illinois
The Spirit,Saint Ignatius College Prep,Chicago,Illinois
Green and Gold,Saint Patrick High School,Chicago,Illinois
Viator Voice,Saint Viator High School,Arlington Heights,Illinois
Sextant,Schaumburg High School,Schaumburg,Illinois
X-ray,St. Charles East High School,St. Charles,Illinois
Stargazer,St. Charles North High School,St. Charles,Illinois
The Edge,St. Edward Catholic High School,Elgin,Illinois
The Warrior Word,Sterling High School,Sterling,Illinois
Titan Times ,Tinley Park High School,Tinley Park,Illinois
The Clarionette ,University High School,Normal,Illinois
U-High Midway,University of Chicago Laboratory High School,Chicago,Illinois
The Journal,University of Illinois - Springfield,Springfield,Illinois
The Gargoyle,University of Illinois Laboratory High School,Urbana,Illinois
The Scratching Post,Vernon Hills High School,Vernon Hills,Illinois
The Golden Blue,Warren Township High School,Gurnee,Illinois
Purple Press,Wauconda High School,Wauconda ,Illinois
The War Whoop,Wayne City High School,Wayne City,Illinois
Wildcat Chronicle,West Chicago Community High School,West Chicago,Illinois
The Pride,Wheaton Warrenville South High School,Wheaton,Illinois
Spokesman,Wheeling High School,Wheeling,Illinois
Beacon,Whitney Young Magnet High School,Chicago,Illinois
The Viking Logue,William Fremd High School,Palatine,Illinois
Taft Today,William Howard Taft High School,Chicago,Illinois
The Plaid,Woodlands Academy of the Sacred Heart,Lake Forest,Illinois
Wredling RedHawk News,Wredling Middle School,St. Charles,Illinois
This is York,York Community High School,Elmhurst,Illinois
Fox Tales,Yorkville High School,Yorkville,Illinois
Smoke Signals,Anderson High School,Anderson ,Indiana
The Spotlight,Ben Davis High School,Indianapolis,Indiana
Community West Side News,Ben Davis High School,Indianapolis,Indiana
JourNoll Online,Bishop Noll Institute,Hammond,Indiana
Fused,Bloomington High School North,Bloomington,Indiana
The Optimist,Bloomington High School South,Bloomington,Indiana
The Arrow,Brebeuf Jesuit Preparatory School,Indianapolis,Indiana
Brownsburg High School News,Brownsburg High School,Brownsburg,Indiana
Cannelton HiLife,Cannelton City Schools,Cannelton,Indiana
HiLite,Carmel High School,Carmel,Indiana
Pinnacle yearbook,Carmel High School,Carmel,Indiana
Acumen,Carmel High School,Carmel,Indiana
WHJE 91.3,Carmel High School,Carmel,Indiana
CHTV,Carmel High School - CHTV,Carmel,Indiana
The Charger Online,Carroll High School,Fort Wayne,Indiana
The Collaborator,Cascade High School,Clayton,Indiana
The Megaphone,Cathedral High School,Indianapolis,Indiana
Trojaneer,Center Grove High School,Greenwood,Indiana
The Sandscript,Chesterton High School,Chesterton,Indiana
The Oracle,Columbus East High School,Columbus ,Indiana
cnhsmedia.com,Columbus North High School,Columbus,Indiana
Crown Town Media,Crown Point High School,Crown Point,Indiana
Parnassus,Delphi Community High School,Delphi,Indiana
Knightly Scroll,East Noble School High School,Kendallville,Indiana
Blazer Pennant Newsmagazine,Elkhart Central High School,Elkhart,Indiana
Fishers High School,Fishers High School,Fishers,Indiana
FC Media,Franklin Central High School,Indianapolis,Indiana
The Southerner,Gibson Southern High School,Fort Branch,Indiana
Timberlines Online,Greenwood Community High School,Greenwood,Indiana
Panther Press,Griffith High School,Griffith,Indiana
NSE News,Hamilton Southeastern High School,Fishers,Indiana
Brickie News,Hobart High School,Hobart,Indiana
The Tower,John Adams High School,South Bend,Indiana
Red & Blue,Kokomo High School,Kokomo,Indiana
Lake Central News,Lake Central High School,St. John,Indiana
The Cub Reporter,Lawrence Central High School,Indianapolis,Indiana
North Star,Lawrence North High School,Indianapolis,Indiana
The Pennant,Lebanon High School,Lebanon,Indiana
Kings' Courier,Lewis Cass High School,Walton,Indiana
LHS Magpie,Logansport High School,Logansport,Indiana
The Madisonian,Madison Consolidated High School,Madison,Indiana
Breaking Blue,Martinsville High School,Martinsville,Indiana
The Mirror,Merrillville High School,Merrillville,Indiana
The Pulse,Mooresville High School,Mooresville,Indiana
MV Current,Mount Vernon High School,Fortville,Indiana
Crier,Munster High School,Munster,Indiana
Blotter,New Albany High School,New Albany ,Indiana
Miller Media,Noblesville High School,Noblesville,Indiana
NCHS Live!,North Central High School,Indianapolis,Indiana
PHS Media News,Paoli High School,Paoli,Indiana
FOCUS,Perry Meridian High School,Indianapolis,Indiana
Legend and PHS Chronicle,Portage High School,Portage,Indiana
Roncalli Media,Roncalli High School,Indianapolis,Indiana
the Square,Saint Joseph High School,South Bend,Indiana
The Owl ,Seymour High School,Seymour,Indiana
The Journal,Southport High School,Indianapolis,Indiana
Tribe Live,Twin Lakes High School,Monticello,Indiana
The Broadcaster,Yorktown High School,Yorktown,Indiana
The Harbinger ,Zionsville Community High School,Zionsville,Indiana
Echoes,Abraham Lincoln High School,Council Bluffs,Iowa
Black & (Red)gister ,Adel-De Soto-Minburn High School,Adel,Iowa
The WEB,Ames High School,Ames,Iowa
The Talon,Ankeny High School,Ankeny,Iowa
AHSneedle,Atlantic High School,Atlantic,Iowa
The Growl,Bettendorf High School,Bettendorf ,Iowa
City View Citizen,City View Community High School,Cedar Rapids,Iowa
The Anchor,Clear Creek Amana High School,Tiffin,Iowa
WHS Today,Davenport West High School,Davenport,Iowa
East Scroll,Des Moines East High School,Des Moines,Iowa
The Dowling Catholic Post,Dowling Catholic High School,West Des Moines,Iowa
Rampage,Dubuque Senior High School,Dubuque,Iowa
The Challenger,Hoover High School,Des Moines,Iowa
The Little Hawk,Iowa City High School,Iowa City,Iowa
ICTE Website,Iowa Council of Teachers of English,Mount Vernon,Iowa
Iowa State Daily Media Group,Iowa State Daily Media Group,Ames,Iowa
The Black and White,Johnston School District,Johnston,Iowa
Kennedy Torch,Kennedy High School,Cedar Rapids,Iowa
The Live Wire,Liberty High School,North Liberty ,Iowa
The Vox Online,Marion High School,Marion,Iowa
The Mustang Moon,Mount Vernon High School,Mount Vernon,Iowa
Mount Vernon-Lisbon Sun,Mount Vernon-Lisbon Sun,Iowa City,Iowa
The Auroran Today,Muscatine High School,Muscatine ,Iowa
The Oracle,North High School,Des Moines,Iowa
The Orbit,North Polk High School,Alleman,Iowa
Norwalk Spear,Norwalk High School,Norwalk,Iowa
The PCM Outlook,PCM High School,Monroe,Iowa
Pelladium,Pella High School,Pella,Iowa
Spartan Shield,Pleasant Valley High School,Bettendorf,Iowa
Quill and Scroll,Quill and Scroll,Iowa City,Iowa
The Roundup,Roosevelt High School,Des Moines,Iowa
Solon Economist,Solon Economist,Iowa City,Iowa
Southeast Polk Publications,Southeast Polk High School,Pleasant Hill,Iowa
Urbandale Unplugged,Urbandale High School,Urbandale,Iowa
The Gleaner,Wahlert Catholic High School,Dubuque,Iowa
The Wahawk Insider,Waterloo West High School,Waterloo,Iowa
Inklings,West Delaware High School,Manchester,Iowa
West Side Story ,West High School,Iowa City,Iowa
Xpress,Xavier High School,CEDAR RAPIDS,Iowa
The Booster,Abilene High School,Abilene,Kansas
Oriole,Augusta High School,Augusta,Kansas
The Bulldog Bulletin,Baldwin High School,Baldwin City,Kansas
The Spark,Belle Plaine High School,Belle Plaine,Kansas
Trojan Times,Beloit High School,Beloit,Kansas
The Flyer,Bishop Carroll Catholic High School,Wichita,Kansas
Bishop Miege Press,Bishop Miege High School,Roeland Park,Kansas
The Chronicle,Bishop Seabury Academy,Lawrence,Kansas
The Tiger Print,Blue Valley High School,Stilwell,Kansas
The North Star,Blue Valley North High School,Overland Park,Kansas
BVNW News,Blue Valley Northwest High School,Overland Park,Kansas
BVSW News,Blue Valley Southwest High School,Overland Park,Kansas
Spotlight,Blue Valley West High School,Overland Park,Kansas
Pow Wow,Bonner Springs High School,Bonner Springs,Kansas
Bullpup Observer,Caney Valley High School,Caney,Kansas
The Comet,Chanute High School,Chanute,Kansas
The Charge,Cherryvale-Thayer Schools,Cherryvale,Kansas
The Cardinal Times Online,Conway Springs High School,Conway Springs,Kansas
The Green Pride,De Soto High School,De Soto,Kansas
Panther''s Tale,Derby High School,Derby,Kansas
The Echo,Emporia High School,Emporia,Kansas
EMS Sound,Emporia Middle School,Emporia,Kansas
The Blazer,Gardner Edgerton High School,Gardner,Kansas
Panther Tales ,Great Bend High School,Great Bend,Kansas
The Guidon Online,Hays High School,Hays,Kansas
RampageWired,Hyman Brand Hebrew Academy,Overland Park,Kansas
Journalism Education Association (JEA 100),JEA 100,Manhattan,Kansas
The Blue Jay,Junction City High School,Junction City,Kansas
Tribe Times,Larned High School,Larned,Kansas
Free Press,Lawrence Free State High School,Lawrence,Kansas
The Budget,Lawrence High School,Lawrence,Kansas
Maize News,Maize High School,Maize,Kansas
The Mentor,Manhattan High School,Manhattan,Kansas
The High Life ,McPherson High School,McPherson,Kansas
The JagWire/MVTV,Mill Valley High School,Shawnee,Kansas
The Newtonian,Newton High School,Newton,Kansas
The Hawk's Eye,Olathe East High School,Olathe,Kansas
The Chronicle,Olathe North High School,Olathe,Kansas
The Eyrie,Olathe South High School,Olathe,Kansas
Owl Post,Olathe West High School,Olathe,Kansas
Paola High School Journalism,Paola High School,Paola,Kansas
KC Piper News,Piper High School,Kansas City,Kansas
The Booster Redux,Pittsburg High School,Pittsburg,Kansas
Renwick Review,Renwick School District,Andale,Kansas
The Hoof Print,Rock Creek High School,St. George,Kansas
Rocket Productions,Rose Hill High School,Rose Hill,Kansas
CHS Pylon,Salina Central High School,Salina,Kansas
Tripodium,Salina High School South,Salina,Kansas
Seaman Clipper,Seaman High School,Topeka,Kansas
MIssion,Shawnee Mission North High School,Overland Park,Kansas
SMNW,Shawnee Mission Northwest,Shawnee,Kansas
The Patriot,Shawnee Mission South High School,Shawnee Mission,Kansas
